sampling_stratum,objective_mode,split,instance_count,threshold_applicable_count,threshold_applicable_rate,topological_q0_infeasible_count,topological_q0_infeasible_rate,topological_q0_infeasible_wilson95_low,topological_q0_infeasible_wilson95_high,mandatory_exception_count,mandatory_exception_rate,mandatory_threshold_applicable_count,exact_q1_baseline_defeat_count,exact_q1_baseline_defeat_rate,exact_q1_baseline_defeat_wilson95_low,exact_q1_baseline_defeat_wilson95_high,exact_q1_negative_count,exact_q1_negative_rate,exact_q1_negative_wilson95_low,exact_q1_negative_wilson95_high,exact_q1_tie_count,exact_q1_tie_rate,exact_q1_tie_wilson95_low,exact_q1_tie_wilson95_high,mandatory_exact_q1_defeat_count,mandatory_exact_q1_defeat_rate,mandatory_exact_q1_defeat_wilson95_low,mandatory_exact_q1_defeat_wilson95_high,mandatory_safe_positive_count,mandatory_safe_positive_rate,mandatory_safe_positive_wilson95_low,mandatory_safe_positive_wilson95_high,mandatory_safe_positive_basic_one_tree_count,mandatory_safe_positive_basic_one_tree_rate,safe_positive_count,safe_positive_basic_one_tree_count,safe_positive_rate,safe_positive_wilson95_low,safe_positive_wilson95_high,safe_negative_count,safe_negative_basic_one_tree_count,safe_negative_rate,safe_negative_wilson95_low,safe_negative_wilson95_high,safe_negative_of_exact_negative_count,safe_negative_recall_of_exact_negative,basic_one_tree_negative_recall_of_exact_negative,safe_negative_recall_wilson95_low,safe_negative_recall_wilson95_high,certified_negative_recall_of_exact_q1_negative,certified_negative_recall_of_exact_q1_negative_wilson95_low,certified_negative_recall_of_exact_q1_negative_wilson95_high,ambiguous_count,ambiguous_rate,safe_decision_coverage,ambiguous_wilson95_low,ambiguous_wilson95_high,certified_positive_recall_of_exact_q1,certified_positive_recall_of_exact_q1_baseline_defeat,basic_one_tree_positive_recall_of_exact_q1,certified_positive_recall_wilson95_low,certified_positive_recall_wilson95_high,certified_positive_precision,q1_global_explanation_count,q1_exclusive_explanation_count,mandatory_q1_global_explained_count,mandatory_q1_global_ceiling_recall,mandatory_q1_global_rate,mandatory_q1_global_ceiling_wilson95_low,mandatory_q1_global_ceiling_wilson95_high,mandatory_q1_exclusive_explained_count,mandatory_q1_exclusive_ceiling_recall,mandatory_q1_exclusive_rate,mandatory_q1_exclusive_ceiling_wilson95_low,mandatory_q1_exclusive_ceiling_wilson95_high,mandatory_q1_shared_explained_count,mandatory_q1_shared_ceiling_recall,mandatory_q1_shared_rate,mandatory_q1_shared_ceiling_wilson95_low,mandatory_q1_shared_ceiling_wilson95_high,mandatory_metric_q_ge_2_count,mandatory_metric_q_ge_2_rate,mandatory_metric_q_ge_2_wilson95_low,mandatory_metric_q_ge_2_wilson95_high,mandatory_metric_q_ge_2_one_sided95_upper,mandatory_topological_q0_infeasible_count,mandatory_topological_q0_infeasible_rate,mandatory_topological_q0_infeasible_wilson95_low,mandatory_topological_q0_infeasible_wilson95_high,q1_global_without_strict_baseline_defeat_count,unique_q1_minimizer_certificate_count,unique_q1_minimizer_certificate_rate,safe_q1_candidate_count,safe_q1_candidate_basic_one_tree_count,safe_q1_candidate_reduction_rate,safe_q1_candidate_basic_reduction_rate,nonbaseline_edge_total,exact_q1_support_edge_count,exact_q1_support_edge_fraction,mean_hull_size,mean_interior_count,mean_interior_fraction,mean_onion_depth,edge_micro_exact_beneficial_count,edge_micro_certified_beneficial_count,edge_micro_possible_beneficial_count,edge_micro_certified_recall,edge_micro_possible_precision,edge_micro_exact_nonbeneficial_count,edge_micro_exact_tie_count,edge_micro_certified_nonbeneficial_count,edge_micro_certified_negative_recall,edge_micro_feasible_exact_negative_count,edge_micro_feasible_certified_negative_count,edge_micro_feasible_certified_negative_recall,edge_macro_negative_instance_count,edge_macro_feasible_negative_instance_count,edge_macro_mean_certified_recall,edge_macro_mean_possible_precision,edge_macro_mean_certified_negative_recall,edge_macro_mean_feasible_certified_negative_recall,q1_support_hit_rate_at_1,mean_q1_support_recall_at_1,q1_support_micro_recovered_at_1,q1_support_micro_recall_at_1,q1_support_hit_rate_at_3,mean_q1_support_recall_at_3,q1_support_micro_recovered_at_3,q1_support_micro_recall_at_3,q1_support_hit_rate_at_5,mean_q1_support_recall_at_5,q1_support_micro_recovered_at_5,q1_support_micro_recall_at_5
convex_control,euc_2d,validation,90,90,1.0,0,0.0,0.0,0.04093562556432678,0,0.0,0,0,0.0,0.0,0.04093562556432678,90,1.0,0.9590643744356734,1.0000000000000002,0,0.0,0.0,0.04093562556432678,0,,,,0,,,,0,,0,0,0.0,0.0,0.04093562556432678,90,86,1.0,0.9590643744356734,1.0000000000000002,90,1.0,0.9555555555555556,0.9590643744356734,1.0000000000000002,1.0,0.9590643744356734,1.0000000000000002,0,0.0,1.0,0.0,0.04093562556432678,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,74,0.8222222222222222,110,217,0.9583333333333334,0.9178030303030303,2640,93,0.035227272727272725,10.0,0.0,0.0,1.0,0,0,0,,,2640,0,2640,1.0,1363,1363,1.0,90,90,,,1.0,1.0,1.0,0.9833333333333333,90,0.967741935483871,1.0,1.0,93,1.0,1.0,1.0,93,1.0
convex_control,euclidean_raw,validation,90,90,1.0,0,0.0,0.0,0.04093562556432678,0,0.0,0,0,0.0,0.0,0.04093562556432678,90,1.0,0.9590643744356734,1.0000000000000002,0,0.0,0.0,0.04093562556432678,0,,,,0,,,,0,,0,0,0.0,0.0,0.04093562556432678,90,86,1.0,0.9590643744356734,1.0000000000000002,90,1.0,0.9555555555555556,0.9590643744356734,1.0000000000000002,1.0,0.9590643744356734,1.0000000000000002,0,0.0,1.0,0.0,0.04093562556432678,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,76,0.8444444444444444,107,217,0.959469696969697,0.9178030303030303,2640,90,0.03409090909090909,10.0,0.0,0.0,1.0,0,0,0,,,2640,0,2640,1.0,1363,1363,1.0,90,90,,,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,90,1.0,1.0,1.0,90,1.0
hoey5,euc_2d,fixture,1,1,1.0,0,0.0,0.0,0.7934506856227626,1,1.0,1,1,1.0,0.20654931437723745,1.0,0,0.0,0.0,0.7934506856227626,0,0.0,0.0,0.7934506856227626,1,1.0,0.20654931437723745,1.0,1,1.0,0.20654931437723745,1.0,1,1.0,1,1,1.0,0.20654931437723745,1.0,0,0,0.0,0.0,0.7934506856227626,0,,,,,,,,0,0.0,1.0,0.0,0.7934506856227626,1.0,1.0,1.0,0.20654931437723745,1.0,1.0,1,1,1,1.0,1.0,0.20654931437723745,1.0,1,1.0,1.0,0.20654931437723745,1.0,0,0.0,0.0,0.0,0.7934506856227626,0,0.0,0.0,0.7934506856227626,0.95,0,0.0,0.0,0.7934506856227626,0,1,1.0,1,2,0.5,0.0,2,1,0.5,3.0,2.0,0.4,2.0,1,1,1,1.0,1.0,1,0,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0
hoey5,euclidean_raw,fixture,1,1,1.0,0,0.0,0.0,0.7934506856227626,1,1.0,1,1,1.0,0.20654931437723745,1.0,0,0.0,0.0,0.7934506856227626,0,0.0,0.0,0.7934506856227626,1,1.0,0.20654931437723745,1.0,1,1.0,0.20654931437723745,1.0,1,1.0,1,1,1.0,0.20654931437723745,1.0,0,0,0.0,0.0,0.7934506856227626,0,,,,,,,,0,0.0,1.0,0.0,0.7934506856227626,1.0,1.0,1.0,0.20654931437723745,1.0,1.0,1,1,1,1.0,1.0,0.20654931437723745,1.0,1,1.0,1.0,0.20654931437723745,1.0,0,0.0,0.0,0.0,0.7934506856227626,0,0.0,0.0,0.7934506856227626,0.95,0,0.0,0.0,0.7934506856227626,0,1,1.0,1,2,0.5,0.0,2,1,0.5,3.0,2.0,0.4,2.0,1,1,1,1.0,1.0,1,0,1,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0
hoey5_jitter,euc_2d,validation,90,90,1.0,0,0.0,0.0,0.04093562556432678,71,0.7888888888888889,71,71,0.7888888888888889,0.6936520041874271,0.8604740788198507,18,0.2,0.13042401182717056,0.29413736351142555,1,0.011111111111111112,0.0019640841009183445,0.06028408311753451,71,1.0,0.9486720478031097,1.0,71,1.0,0.9486720478031097,1.0,34,0.4788732394366197,71,34,0.7888888888888889,0.6936520041874271,0.8604740788198507,18,1,0.2,0.13042401182717056,0.29413736351142555,18,1.0,0.05555555555555555,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0,1,0.011111111111111112,0.9888888888888889,0.0019640841009183445,0.06028408311753451,1.0,1.0,0.4788732394366197,0.9486720478031097,1.0,1.0,72,71,71,1.0,1.0,0.9486720478031097,1.0,71,1.0,1.0,0.9486720478031097,1.0,0,0.0,0.0,0.0,0.05132795219689034,0,0.0,0.0,0.05132795219689034,0.041315658706909474,0,0.0,0.0,0.05132795219689034,0,90,1.0,90,131,0.34306569343065696,0.04379562043795615,137,90,0.656934306569343,3.522222222222222,1.4777777777777779,0.2955555555555555,2.0,78,78,80,1.0,0.975,57,2,57,1.0,57,57,1.0,45,45,1.0,0.9791666666666666,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,90,1.0,1.0,1.0,90,1.0
hoey5_jitter,euclidean_raw,validation,90,90,1.0,0,0.0,0.0,0.04093562556432678,72,0.8,72,72,0.8,0.7058626364885746,0.8695759881728294,18,0.2,0.13042401182717056,0.29413736351142555,0,0.0,0.0,0.04093562556432678,72,1.0,0.9493488274035422,1.0,72,1.0,0.9493488274035422,1.0,35,0.4861111111111111,72,35,0.8,0.7058626364885746,0.8695759881728294,18,1,0.2,0.13042401182717056,0.29413736351142555,18,1.0,0.05555555555555555,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0,0,0.0,1.0,0.0,0.04093562556432678,1.0,1.0,0.4861111111111111,0.9493488274035422,1.0,1.0,72,72,72,1.0,1.0,0.9493488274035422,1.0,72,1.0,1.0,0.9493488274035422,1.0,0,0.0,0.0,0.0,0.05065117259645781,0,0.0,0.0,0.05065117259645781,0.04075368623063992,0,0.0,0.0,0.05065117259645781,0,89,0.9888888888888889,91,131,0.33576642335766427,0.04379562043795615,137,90,0.656934306569343,3.522222222222222,1.4777777777777779,0.2955555555555555,2.0,79,79,79,1.0,1.0,58,0,58,1.0,58,58,1.0,46,46,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,90,1.0,1.0,1.0,90,1.0
ring_interior,euc_2d,validation,300,300,1.0,0,0.0,8.673617379884035e-19,0.012642971224546034,26,0.08666666666666667,26,26,0.08666666666666667,0.05982889751804311,0.12395595869424827,273,0.91,0.8722229892013517,0.9374097743945206,1,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,26,1.0,0.8712710781407846,1.0,7,0.2692307692307692,0.13704448322018375,0.4608304037917617,1,0.038461538461538464,7,1,0.023333333333333334,0.011347660299125234,0.04737197226827532,271,79,0.9033333333333333,0.8646182980304887,0.9318497051817106,271,0.9926739926739927,0.2893772893772894,0.9736866326130885,0.9979886401076318,0.9926739926739927,0.9736866326130885,0.9979886401076318,22,0.07333333333333333,0.9266666666666666,0.04892399383922859,0.10853134160571733,0.2692307692307692,0.2692307692307692,0.038461538461538464,0.13704448322018375,0.4608304037917617,1.0,27,26,26,1.0,1.0,0.8712710781407846,1.0,26,1.0,1.0,0.8712710781407846,1.0,0,0.0,0.0,0.0,0.1287289218592153,0,0.0,0.0,0.1287289218592153,0.10883035576078481,0,0.0,0.0,0.1287289218592153,0,282,0.94,320,1537,0.959493670886076,0.8054430379746835,7900,303,0.03835443037974683,7.0,3.0,0.29444444444444445,2.1,36,10,41,0.2777777777777778,0.8780487804878049,7862,2,7859,0.9996184177054185,7862,7859,0.9996184177054185,300,300,0.2692307692307692,0.8620689655172413,0.9997540650406502,0.9997540650406502,1.0,0.9961111111111111,300,0.9900990099009901,1.0,1.0,303,1.0,1.0,1.0,303,1.0
ring_interior,euclidean_raw,validation,300,300,1.0,0,0.0,8.673617379884035e-19,0.012642971224546034,26,0.08666666666666667,26,26,0.08666666666666667,0.05982889751804311,0.12395595869424827,274,0.9133333333333333,0.8760440413057516,0.9401711024819569,0,0.0,8.673617379884035e-19,0.012642971224546034,26,1.0,0.8712710781407846,1.0,7,0.2692307692307692,0.13704448322018375,0.4608304037917617,1,0.038461538461538464,7,1,0.023333333333333334,0.011347660299125234,0.04737197226827532,270,80,0.9,0.8608335376153785,0.9290520854049847,270,0.9854014598540146,0.291970802919708,0.9630718648916292,0.9943086539447046,0.9854014598540146,0.9630718648916292,0.9943086539447046,23,0.07666666666666666,0.9233333333333333,0.051627611786607464,0.1124101038501748,0.2692307692307692,0.2692307692307692,0.038461538461538464,0.13704448322018375,0.4608304037917617,1.0,26,26,26,1.0,1.0,0.8712710781407846,1.0,26,1.0,1.0,0.8712710781407846,1.0,0,0.0,0.0,0.0,0.1287289218592153,0,0.0,0.0,0.1287289218592153,0.10883035576078481,0,0.0,0.0,0.1287289218592153,0,285,0.95,317,1531,0.959873417721519,0.8062025316455697,7900,300,0.0379746835443038,7.0,3.0,0.29444444444444445,2.1,37,10,42,0.2702702702702703,0.8809523809523809,7863,0,7858,0.9993641103904363,7863,7858,0.9993641103904363,300,300,0.2692307692307692,0.85,0.9995914634146341,0.9995914634146341,1.0,1.0,300,1.0,1.0,1.0,300,1.0,1.0,1.0,300,1.0
structured_separation_mixture,euc_2d,validation,300,300,1.0,0,0.0,8.673617379884035e-19,0.012642971224546034,27,0.09,27,27,0.09,0.06259022560547936,0.12777701079864834,257,0.8566666666666667,0.8124994228503402,0.8918152576761502,16,0.05333333333333334,0.03309191251909646,0.08486914177483133,27,1.0,0.8754449702581328,0.9999999999999998,27,1.0,0.8754449702581328,0.9999999999999998,0,0.0,27,0,0.09,0.06259022560547936,0.12777701079864834,247,0,0.8233333333333334,0.7761675879076233,0.8623232907005036,247,0.9610894941634242,0.0,0.9298683069121767,0.9787295865036738,0.9610894941634242,0.9298683069121767,0.9787295865036738,26,0.08666666666666667,0.9133333333333333,0.05982889751804311,0.12395595869424827,1.0,1.0,0.0,0.8754449702581328,0.9999999999999998,1.0,43,27,27,1.0,1.0,0.8754449702581328,0.9999999999999998,27,1.0,1.0,0.8754449702581328,0.9999999999999998,0,0.0,0.0,0.0,0.12455502974186705,0,0.0,0.0,0.12455502974186705,0.10501923017634426,0,0.0,0.0,0.12455502974186705,0,217,0.7233333333333334,441,5735,0.9407815227608433,0.22989123136833622,7447,420,0.05639854975157782,5.49,4.51,0.4418888888888889,2.46,52,52,115,1.0,0.45217391304347826,7351,44,7332,0.9974153176438579,7346,7332,0.9980942009256738,300,300,1.0,0.4139937106918239,0.996222779808464,0.9967267301941215,1.0,0.8617777777777776,300,0.7142857142857143,1.0,0.9870000000000001,399,0.95,1.0,0.9975,414,0.9857142857142858
structured_separation_mixture,euclidean_raw,validation,300,300,1.0,0,0.0,8.673617379884035e-19,0.012642971224546034,27,0.09,27,27,0.09,0.06259022560547936,0.12777701079864834,273,0.91,0.8722229892013517,0.9374097743945206,0,0.0,8.673617379884035e-19,0.012642971224546034,27,1.0,0.8754449702581328,0.9999999999999998,27,1.0,0.8754449702581328,0.9999999999999998,0,0.0,27,0,0.09,0.06259022560547936,0.12777701079864834,247,0,0.8233333333333334,0.7761675879076233,0.8623232907005036,247,0.9047619047619048,0.0,0.8641138413672891,0.9341769960724104,0.9047619047619048,0.8641138413672891,0.9341769960724104,26,0.08666666666666667,0.9133333333333333,0.05982889751804311,0.12395595869424827,1.0,1.0,0.0,0.8754449702581328,0.9999999999999998,1.0,27,27,27,1.0,1.0,0.8754449702581328,0.9999999999999998,27,1.0,1.0,0.8754449702581328,0.9999999999999998,0,0.0,0.0,0.0,0.12455502974186705,0,0.0,0.0,0.12455502974186705,0.10501923017634426,0,0.0,0.0,0.12455502974186705,0,275,0.9166666666666666,339,5726,0.9544783134147979,0.23109977172015572,7447,300,0.040284678393984155,5.49,4.51,0.4418888888888889,2.46,57,57,98,1.0,0.5816326530612245,7390,0,7349,0.9944519621109608,7385,7349,0.9951252538930264,300,300,1.0,0.47735849056603774,0.9912019068136777,0.991711412754891,1.0,1.0,300,1.0,1.0,1.0,300,1.0,1.0,1.0,300,1.0
